location,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"United States, Louisiana",Lager,Lager,Belgian Ale,Pale Ale,Pale Ale,Stout,Lager,Stout,Stout,Stout,Pale Ale,Pale Ale
"United States, Maine",Belgian Ale,Belgian Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
"United States, Maryland",Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
"United States, Massachusetts",Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
"United States, Michigan",Pale Ale,Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Stout,Stout,Stout
"United States, Minnesota",Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
"United States, Mississippi",Lager,Lager,Pale Ale,Lager,Pale Ale,Brown Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Lager,Pale Ale
"United States, Missouri",Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Pale Ale,Stout,Stout,Stout,Stout
"United States, Montana",Porter,Pale Ale,Pale Ale,Stout,Stout,Stout,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
"United States, Nebraska",Lager,Belgian Ale,Belgian Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Stout,Pale Ale,Stout,Stout
"United States, Nevada",Lager,Pale Ale,Lager,Pale Ale,Belgian Ale,Stout,Pale Ale,Pale Ale,Stout,Pale Ale,Stout,Pale Ale
"United States, New Hampshire",Pale Ale,Lager,Stout,Stout,Stout,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
"United States, New Jersey",Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
"United States, New Mexico",Pale Ale,Pale Ale,Pale Ale,Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Stout,Stout
"United States, New York",Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
"United States, North Carolina",Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
"United States, North Dakota",Lager,Lager,Lager,Lager,Stout,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout
"United States, Ohio",Pale Ale,Pale Ale,Pale Ale,Stout,Pale Ale,Stout,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Stout
"United States, Oklahoma",Lager,Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Pale Ale,Stout,Stout,Stout
"United States, Oregon",Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
"United States, Pennsylvania",Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
"United States, Rhode Island",Pale Ale,Pale Ale,Stout,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
"United States, South Carolina",Pale Ale,Belgian Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Pale Ale
"United States, Tennessee",Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Belgian Ale,Pale Ale,Pale Ale
"United States, Texas",Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Stout,Stout,Stout,Stout
"United States, Utah",Lager,Lager,Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
"United States, Vermont",Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
"United States, Virginia",Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
"United States, Washington",Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
"United States, West Virginia",Pale Ale,Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Lager,Belgian Ale
"United States, Wisconsin",Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Stout,Stout,Stout,Stout
"United States, Wyoming",Pale Ale,Pale Ale,Lager,Lager,Lager,Pale Ale,Stout,Stout,Pale Ale,Pale Ale,Pale Ale,Pale Ale
