location,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"United States, Hawaii",Stout,Stout,Belgian Ale,Lambic & Sour Ale,Stout,Stout,Stout,Bock,Stout,Stout,Lambic & Sour Ale,Stout
"United States, Idaho",Belgian Ale,Stout,Stout,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
"United States, Illinois",Stout,Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale,Wheat Beer,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale
"United States, Indiana",Bock,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
"United States, Iowa",Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale,Stout,Lambic & Sour Ale,Stout
"United States, Kansas",Stout,Porter,Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
"United States, Kentucky",Lambic & Sour Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Stout,Lambic & Sour Ale,Belgian Ale
"United States, Louisiana",Pale Ale,Belgian Ale,Bock,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale
"United States, Maine",Belgian Ale,Porter,Pale Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
"United States, Maryland",Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale
"United States, Massachusetts",Bock,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Bock,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale
"United States, Michigan",Belgian Ale,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Bock,Bock,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
"United States, Minnesota",Belgian Ale,Bock,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
"United States, Mississippi",Stout,Porter,Belgian Ale,Belgian Ale,Pale Ale,Stout,Belgian Ale,Brown Ale,Lambic & Sour Ale,Stout,Belgian Ale,Brown Ale
"United States, Missouri",Belgian Ale,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Stout
"United States, Montana",Belgian Ale,Pale Ale,Stout,Stout,Lambic & Sour Ale,Stout,Belgian Ale,Stout,Stout,Alternative/Traditional,Stout,Stout
"United States, Nebraska",Stout,Stout,Pale Ale,Stout,Stout,Belgian Ale,Stout,Belgian Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
"United States, Nevada",Stout,Stout,Belgian Ale,Belgian Ale,Belgian Ale,Brown Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
"United States, New Hampshire",Porter,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale
"United States, New Jersey",Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
"United States, New Mexico",Stout,Stout,Brown Ale,Alternative/Traditional,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout
"United States, New York",Lambic & Sour Ale,Belgian Ale,Belgian Ale,Bock,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
"United States, North Carolina",Belgian Ale,Belgian Ale,Bock,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Bock,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
"United States, North Dakota",Belgian Ale,Belgian Ale,Belgian Ale,Pale Ale,Stout,Stout,Alternative/Traditional,Lambic & Sour Ale,Stout,Belgian Ale,Stout,Stout
"United States, Ohio",Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Bock,Lambic & Sour Ale,Bock,Lambic & Sour Ale,Lambic & Sour Ale
"United States, Oklahoma",Alternative/Traditional,Stout,Stout,Bock,Alternative/Traditional,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout
"United States, Oregon",Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Alternative/Traditional,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
"United States, Pennsylvania",Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
"United States, Rhode Island",Belgian Ale,Bock,Belgian Ale,Stout,Belgian Ale,Pale Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
"United States, South Carolina",Belgian Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Bock,Stout,Lambic & Sour Ale,Stout,Stout
"United States, Tennessee",Lambic & Sour Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Bock,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale
"United States, Texas",Bock,Belgian Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
"United States, Utah",Stout,Stout,Alternative/Traditional,Stout,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Alternative/Traditional,Belgian Ale,Belgian Ale,Belgian Ale,Stout
"United States, Vermont",Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout
"United States, Virginia",Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
"United States, Washington",Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
"United States, West Virginia",Bock,Stout,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Stout,Lambic & Sour Ale,Stout,Belgian Ale
"United States, Wisconsin",Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
"United States, Wyoming",Pale Ale,Stout,Stout,Lambic & Sour Ale,Stout,Pale Ale,Stout,Stout,Lambic & Sour Ale,Stout,Stout,Stout
